school_name,url_address,address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,ccas_offered,subjects_offered,moe_programmes
BENDEMEER SECONDARY SCHOOL,http://www.bendemeersec.moe.edu.sg,1    ST WILFRED ROAD,327919,BOON KENG MRT,"13,  23,  31,  64,  65,  66, 125, 133, 140, 147, 857, 985",KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Basic Tamil Language, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, Higher Tamil Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language",
BLANGAH RISE PRIMARY SCHOOL,http://www.blangahrisepri.moe.edu.sg/,91   TELOK BLANGAH HEIGHTS,109100,"Telok Blangah, Tiong Bahru & Redhill",SBS 273 & 124,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
BOON LAY GARDEN PRIMARY SCHOOL,www.boonlaygardenpri.moe.edu.sg,20   BOON LAY DRIVE,649930,Lakeside & Boon Lay,"30,99,154,178,180,187,240,246",JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
BOON LAY SECONDARY SCHOOL,https://www.boonlaysec.moe.edu.sg,11   JURONG WEST STREET 65,648354,BOON LAY MRT,"99, 181, 192, 193, 242, 243, 257, 502, 502A",JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Exercise & Sports Science, Food & Consumer Education, Geography, Higher Chinese Language, History, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Music, Physical Education",
BOWEN SECONDARY SCHOOL,http://www.bowensec.moe.edu.sg,2    LORONG NAPIRI,547529,"HOUGANG MRT, SERANGOON MRT, SENGKANG MRT","43, 70, 73, 103, 109, 156, 854, 25, 74, 74E, 76, 112, 132, 147, 165, 55",HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Design & Technology, Food & Consumer Education, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Mathematics, Basic Malay Language, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language, Music, Physical Education",
BROADRICK SECONDARY SCHOOL,http://www.broadricksec.moe.edu.sg,61   DAKOTA CRESCENT,399935,DAKOTA MRT,"10, 16, 30, 31, 32, 33",GEYLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Basic Chinese Language, Computer Applications, English Language, Mathematics, Basic Malay Language, Science, Basic Tamil Language, Art, Chinese Language, English Language, Geography, History, Mathematics, Malay Language, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language, Music, Physical Education",
BUKIT BATOK SECONDARY SCHOOL,http://www.bukitbatoksec.moe.edu.sg,50   BUKIT BATOK WEST AVE 8,658962,BUKIT BATOK MRT,"66, 66B, 157, 174, 174E, 178, 506, 941, 991",BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Applied Learning Programme, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, English Language, Food & Consumer Education, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Malay Language (special Programme), Malay Language (special Programme), Nutrition And Food Science, Physics, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language, Music, Physical Education",
BUKIT MERAH SECONDARY SCHOOL,http://www.bukitmerahsec.moe.edu.sg,10   LENGKOK BAHRU,159050,REDHILL MRT,"14, 32, 33, 63, 64, 120, 132, 139, 145, 147, 196, 197, 855, 961",BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language, Music",
BUKIT PANJANG GOVT. HIGH SCHOOL,http://www.bpghs.moe.edu.sg,7    CHOA CHU KANG AVE 4,689809,CHOA CHU KANG MRT,"300, 983",CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Mathematics, Basic Malay Language, Social Studies, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Mathematics, Malay Language, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Additional Mathematics, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Art, Higher Art, History, History, Higher Malay Language, Higher Malay Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In Chinese), Humanities (SS, Literature In English), Humanities (SS, Literature In Malay), Malay Language Syllabus B","Art Elective Programme, Elective Programme in Malay Language for Secondary School, Language Elective Programme (Malay)"
BUKIT PANJANG PRIMARY SCHOOL,http://www.bukitpanjangpri.moe.edu.sg,109  CASHEW ROAD,679676,From Pending LRT station to Choa Chu Kang MRT station,"75, 184",BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
BUKIT TIMAH PRIMARY SCHOOL,http://www.bukittimahpri.moe.edu.sg,111  Lorong Kismis,598112,"Beauty World, Bukit Batok and Clementi Stations",173,BUKIT TIMAH,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
BUKIT VIEW PRIMARY SCHOOL,http://www.bukitviewpri.moe.edu.sg,18   BUKIT BATOK STREET 21,659634,Bukit Batok MRT Station,"173,157,178,852,66,106,61,506,963,77",BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
BUKIT VIEW SECONDARY SCHOOL,https://www.bukitviewsec.moe.edu.sg,16   BUKIT BATOK STREET 21,659633,BUKIT BATOK MRT,"61, 66, 77, 106, 157, 173, 174, 178, 189, 506, 653, 852, 963, 990",BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Joules Programme, Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Music, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Malay Language Syllabus B, Music, Tamil Language Syllabus B",
CANBERRA PRIMARY SCHOOL,http://www.canberrapri.moe.edu.sg,21   ADMIRALTY DRIVE,757714,Sembawang MRT Station,Bus No. 859,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
CANBERRA SECONDARY SCHOOL,https://canberrasec.moe.edu.sg,51   SEMBAWANG DRIVE,757699,SEMBAWANG MRT,"859, 962",SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Mathematics, Malay Language, Nutrition And Food Science, Science, Science (Phy, Chem), Humanities (SS, Geography), Additional Mathematics, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Food & Consumer Education, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Music, Physical Education",
CANOSSA CATHOLIC PRIMARY SCHOOL,https://canossacatholicpri.moe.edu.sg/,1    Sallim Road,387621,Nearest MRT station: Mattar Station (about 7-minute walk),"Aljunied Road (same side as CCPS): 62, 64, 100    Aljunied Road (opposite CCPS): 61, 62, 64, 66, 100, 135, 154, 155    Merpati Rd (after Jln Anggerek): 40, 61, 63, 65, 66, 135,",GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,,
CANTONMENT PRIMARY SCHOOL,http://www.cantonmentpri.moe.edu.sg,1    Cantonment Close,88256,Tanjong Pagar Outram Park,"75, 167, 196",BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
